engine,test_name,elapsed_time,compile_time,exec_time
wagon,blake2b-2805-bytes,0.20166659355163574,0.062819,0.003182
wagon,blake2b-2805-bytes,0.042967796325683594,0.03702,0.003207
wagon,blake2b-2805-bytes,0.04337143898010254,0.03746,0.003195
wagon,blake2b-2805-bytes,0.043001651763916016,0.037107,0.003196
wagon,blake2b-2805-bytes,0.04347729682922363,0.037669,0.00318
wagon,blake2b-2805-bytes,0.042926788330078125,0.03709,0.003205
wagon,blake2b-2805-bytes,0.04340648651123047,0.037497,0.003186
wagon,blake2b-2805-bytes,0.04290509223937988,0.03714,0.003176
wagon,blake2b-2805-bytes,0.0431978702545166,0.037309,0.003205
wagon,blake2b-2805-bytes,0.04270815849304199,0.036939,0.003205
wagon,blake2b-2805-bytes,0.04316878318786621,0.037323,0.003189
wagon,blake2b-2805-bytes,0.04363441467285156,0.037822,0.003185
wagon,blake2b-2805-bytes,0.04256415367126465,0.036725,0.003176
wagon,blake2b-2805-bytes,0.04272866249084473,0.036949,0.003179
wagon,blake2b-2805-bytes,0.042607784271240234,0.036826,0.003187
wagon,blake2b-2805-bytes,0.042886972427368164,0.037092,0.003207
wagon,blake2b-2805-bytes,0.04262542724609375,0.036839,0.003188
wagon,blake2b-2805-bytes,0.042363643646240234,0.036687,0.003186
wagon,blake2b-2805-bytes,0.04246091842651367,0.036773,0.003188
wagon,blake2b-2805-bytes,0.043378353118896484,0.037567,0.003199
wagon,blake2b-2805-bytes,0.04297828674316406,0.037192,0.003173
wagon,blake2b-2805-bytes,0.04231142997741699,0.036559,0.003178
wagon,blake2b-2805-bytes,0.04221796989440918,0.03646,0.003178
wagon,blake2b-2805-bytes,0.04348874092102051,0.037591,0.003185
wagon,blake2b-2805-bytes,0.04346108436584473,0.037584,0.003176
wagon,blake2b-2805-bytes,0.043426513671875,0.037679,0.003197
wagon,blake2b-2805-bytes,0.04302978515625,0.037245,0.003184
wagon,blake2b-2805-bytes,0.04322671890258789,0.037424,0.00319
wagon,blake2b-2805-bytes,0.0427088737487793,0.036937,0.003182
wagon,blake2b-2805-bytes,0.04303598403930664,0.037267,0.00319
wagon,blake2b-2805-bytes,0.044361114501953125,0.038438,0.003175
wagon,blake2b-2805-bytes,0.04278564453125,0.037009,0.003193
wagon,blake2b-2805-bytes,0.04407215118408203,0.038037,0.003182
wagon,blake2b-2805-bytes,0.042485952377319336,0.036636,0.003185
wagon,blake2b-2805-bytes,0.04258608818054199,0.036867,0.003176
wagon,blake2b-2805-bytes,0.04320812225341797,0.037472,0.003176
wagon,blake2b-2805-bytes,0.042881011962890625,0.03706,0.003187
wagon,blake2b-2805-bytes,0.04340815544128418,0.037585,0.003188
wagon,blake2b-2805-bytes,0.042783260345458984,0.037042,0.003173
wagon,blake2b-2805-bytes,0.04334759712219238,0.037564,0.00319
wagon,blake2b-2805-bytes,0.04267454147338867,0.036934,0.003179
wagon,blake2b-2805-bytes,0.043352365493774414,0.037481,0.003179
wagon,blake2b-2805-bytes,0.042806386947631836,0.03692,0.003189
wagon,blake2b-2805-bytes,0.04400515556335449,0.038183,0.00318
wagon,blake2b-2805-bytes,0.044043540954589844,0.038223,0.00318
wagon,blake2b-2805-bytes,0.04302406311035156,0.037225,0.003205
wagon,blake2b-2805-bytes,0.042520761489868164,0.036775,0.003189
wagon,blake2b-2805-bytes,0.042542219161987305,0.036748,0.003201
wagon,blake2b-2805-bytes,0.042646169662475586,0.036896,0.003191
wagon,blake2b-2805-bytes,0.04325461387634277,0.037431,0.003213
wagon,blake2b-5610-bytes,0.0486142635345459,0.039879,0.006139
wagon,blake2b-5610-bytes,0.04875469207763672,0.039992,0.006173
wagon,blake2b-5610-bytes,0.04726696014404297,0.03862,0.006154
wagon,blake2b-5610-bytes,0.04797554016113281,0.039223,0.006173
wagon,blake2b-5610-bytes,0.04816460609436035,0.03943,0.006147
wagon,blake2b-5610-bytes,0.04876065254211426,0.040013,0.006151
wagon,blake2b-5610-bytes,0.047731876373291016,0.038971,0.006165
wagon,blake2b-5610-bytes,0.048354148864746094,0.039638,0.006136
wagon,blake2b-5610-bytes,0.047948598861694336,0.039173,0.006165
wagon,blake2b-5610-bytes,0.05054044723510742,0.041728,0.006154
wagon,blake2b-5610-bytes,0.04877471923828125,0.040061,0.006167
wagon,blake2b-5610-bytes,0.04763340950012207,0.03892,0.006167
wagon,blake2b-5610-bytes,0.04797649383544922,0.039167,0.006154
wagon,blake2b-5610-bytes,0.04726576805114746,0.038489,0.006168
wagon,blake2b-5610-bytes,0.047289133071899414,0.038591,0.006148
wagon,blake2b-5610-bytes,0.04779362678527832,0.039057,0.00614
wagon,blake2b-5610-bytes,0.047351837158203125,0.038601,0.006181
wagon,blake2b-5610-bytes,0.04807472229003906,0.039286,0.00615
wagon,blake2b-5610-bytes,0.04866290092468262,0.0399,0.006159
wagon,blake2b-5610-bytes,0.047324180603027344,0.038628,0.006153
wagon,blake2b-5610-bytes,0.04787039756774902,0.039134,0.006164
wagon,blake2b-5610-bytes,0.04794025421142578,0.039086,0.006185
wagon,blake2b-5610-bytes,0.04949331283569336,0.040801,0.006171
wagon,blake2b-5610-bytes,0.0487818717956543,0.040034,0.006149
wagon,blake2b-5610-bytes,0.048172712326049805,0.03945,0.006169
wagon,blake2b-5610-bytes,0.047361135482788086,0.038632,0.006166
wagon,blake2b-5610-bytes,0.047644615173339844,0.038881,0.006139
wagon,blake2b-5610-bytes,0.04804110527038574,0.039384,0.006187
wagon,blake2b-5610-bytes,0.04852104187011719,0.039744,0.006141
wagon,blake2b-5610-bytes,0.047974586486816406,0.039381,0.006156
wagon,blake2b-5610-bytes,0.04775404930114746,0.039092,0.00614
wagon,blake2b-5610-bytes,0.04831552505493164,0.039541,0.006161
wagon,blake2b-5610-bytes,0.04881763458251953,0.039985,0.006191
wagon,blake2b-5610-bytes,0.047976016998291016,0.039175,0.006174
wagon,blake2b-5610-bytes,0.04817485809326172,0.039455,0.006171
wagon,blake2b-5610-bytes,0.04810452461242676,0.039358,0.006158
wagon,blake2b-5610-bytes,0.04732084274291992,0.038452,0.006194
wagon,blake2b-5610-bytes,0.04780697822570801,0.039102,0.006187
wagon,blake2b-5610-bytes,0.04785799980163574,0.039186,0.006151
wagon,blake2b-5610-bytes,0.05142045021057129,0.042623,0.006142
